analytics	10
attendance	2
centers	14
currentAssignments	3
doubts	5
entries	5
exercises	35
groupMigration	0
groups	23
lead	2
migrations	1
notifications	4
paperStructures	12
pastPaperPages	7
pastPapers	9
questionBank	22
rooms	6
scheduleSlots	2
sessionRecords	14
sessionSubmissions	0
settings	5
slotTeachers	1
studentModulePositions	0
students	14
teachers	9
textbookPages	8
textbooks	7
timeline	2
topicTags	12
unitMetadata	3
learningEngine/backfill	0
learningEngine/calendar	8
learningEngine/config	0
learningEngine/coverage	5
learningEngine/cropIntegrity	0
learningEngine/derivedConcepts	2
learningEngine/difficultyTab	4
learningEngine/importance	6
learningEngine/leagues	4
learningEngine/map	3
learningEngine/mastery	0
learningEngine/memory	0
learningEngine/path	3
learningEngine/pdf	3
learningEngine/pdfHelpers	6
learningEngine/planner	5
learningEngine/profile	1
learningEngine/scoring	4
learningEngine/sheets	9
learningEngine/studentDashboard	1
learningEngine/tracks	7
messaging/absenceAlerts	6
messaging/broadcasts	3
messaging/connectWebhook	1
messaging/contacts	1
messaging/groupsWa	7
messaging/inbound	2
messaging/inbox	7
messaging/outbox	22
messaging/policy	0
messaging/provider	0
messaging/queue	3
messaging/recipients	0
messaging/seedTemplates	1
messaging/sendTest	1
messaging/sessionStatus	1
messaging/settings	3
messaging/templates	0
messaging/templatesAdmin	3
messaging/testSend	0
messaging/tomorrowReminders	4
messaging/weeklyCards	6
lib/naming	0
lib/phone	0
lib/roster	0
lib/slotMerge	0
lib/slotNormalize	0
seeds/paperStructures	0
seeds/topicTags	0
groupMigration	imports:1
sessionSubmissions	imports:1
studentModulePositions	imports:1
backfill	imports:1
config	imports:11
cropIntegrity	imports:4
mastery	imports:5
memory	imports:3
policy	imports:6
provider	imports:4
recipients	imports:3
templates	imports:8
testSend	imports:1
naming	imports:1
phone	imports:10
roster	imports:6
slotMerge	imports:3
slotNormalize	imports:4
paperStructures	imports:2
topicTags	imports:2
